Geometry;objectid;naam;type;controle;x;y;x_lb72;y_lb72;geo_point_2d;url
"{""coordinates"": [3.722859561670223, 51.03823576852762], ""type"": ""Point""}";24;SMAK;Musea;xx;3.72285900;51.03823600;104786.09400000;192232.46000000;51.03823576852762,3.722859561670223;https://visit.gent.be/nl/zien-doen/smak-hedendaagse-kunst-gent
"{""coordinates"": [3.720142571160793, 51.05586576366243], ""type"": ""Point""}";128;Design Museum;Musea;xx;3.72014200;51.05586600;104612.62800000;194195.38300000;51.05586576366243,3.720142571160793;https://visit.gent.be/nl/zien-doen/design-museum-gent-modern-historisch
"{""coordinates"": [3.726536561960865, 51.04170376615593], ""type"": ""Point""}";166;De Wereld van Kina - Het Huis;Musea;xx;3.72653600;51.04170400;105047.32100000;192616.02700000;51.04170376615593,3.726536561960865;https://dewereldvankina.stad.gent/
"{""coordinates"": [3.717252573212501, 51.05547876417527], ""type"": ""Point""}";126;School van Toen;Musea;xx;3.71725200;51.05547900;104409.62900000;194154.10100000;51.05547876417527,3.717252573212501;https://stad.gent/nl/shoppen-toerisme/bezienswaardigheden/musea-en-historische-huizen/de-school-van-toen
"{""coordinates"": [3.728984571721399, 51.05975776038479], ""type"": ""Point""}";150;Industriemuseum;Musea;xx;3.72898400;51.05975800;105236.27700000;194622.98600000;51.05975776038479,3.728984571721399;https://www.industriemuseum.be/nl
"{""coordinates"": [3.70304458242195, 51.06670676382753], ""type"": ""Point""}";156;Museum Dr. Guislain;Musea;xx;3.70304400;51.06670700;103424.65700000;195411.99300000;51.06670676382753,3.70304458242195;https://www.museumdrguislain.be/
"{""coordinates"": [3.71655956608991, 51.04401976781365], ""type"": ""Point""}";168;STAM;Musea;xx;3.71655900;51.04402000;104349.86600000;192879.75900000;51.04401976781365,3.71655956608991;https://stamgent.be/nl_be
"{""coordinates"": [3.723910560908239, 51.03828776744528], ""type"": ""Point""}";115;Museum voor Schone Kunsten (MSK);Musea;xx;3.72391000;51.03828800;104859.85900000;192237.60500000;51.03828776744528,3.723910560908239;https://www.mskgent.be/nl
"{""coordinates"": [3.712634556220713, 51.02348777392898], ""type"": ""Point""}";131;Gents Universiteitsmuseum;Musea;xx;3.554765105423916;51.12042398116173;104054.46500000;190598.09100000;51.02348777392898,3.712634556220713;https://www.gum.gent/nl
"{""coordinates"": [3.723252571912101, 51.05754576232154], ""type"": ""Point""}";134;Huis van Alijn;Musea;xx;3.72325200;51.05754600;104832.29600000;194380.38000000;51.05754576232154,3.723252571912101;https://huisvanalijn.be/nl
"{""coordinates"": [3.725505574492423, 51.06446175987192], ""type"": ""Point""}";140;De Wereld van Kina - De Tuin;Musea;xx;3.72550500;51.06446200;104996.90400000;195148.39300000;51.06446175987192,3.725505574492423;https://dewereldvankina.stad.gent
"{""coordinates"": [3.722044118666035, 51.058894835666756], ""type"": ""Point""}";171;Kunsthal Gent;Musea;xx;3.72204410;51.05889485;104660.99100000;194502.04500000;51.058894835666756,3.722044118666035;https://kunsthal.gent